zip,est,lat,lng,city,state_name
4011,3,43.90068,-69.97607,Brunswick,Maine
5602,3,44.2848,-72.61498,Montpelier,Vermont
6901,3,41.05349,-73.53845,Stamford,Connecticut
7042,3,40.81382,-74.21775,Montclair,New Jersey
7054,3,40.85527,-74.40239,Parsippany,New Jersey
7470,3,40.94805,-74.24504,Wayne,New Jersey
10001,3,40.75064,-73.99728,New York,New York
10003,5,40.73184,-73.98915,New York,New York
10013,4,40.72001,-74.00472,New York,New York
10028,3,40.77643,-73.95339,New York,New York
10036,3,40.75976,-73.99064,New York,New York
11201,3,40.69477,-73.99031,Brooklyn,New York
11211,3,40.71428,-73.94602,Brooklyn,New York
13066,3,43.03297,-76.00259,Fayetteville,New York
14226,3,42.97078,-78.79844,Buffalo,New York
19106,4,39.94589,-75.14224,Philadelphia,Pennsylvania
22031,3,38.85954,-77.2599,Fairfax,Virginia
23666,4,37.05818,-76.40817,Hampton,Virginia
27265,3,36.00947,-80.03272,High Point,North Carolina
27407,3,36.01124,-79.87588,Greensboro,North Carolina
27514,4,35.96776,-79.04406,Chapel Hill,North Carolina
28210,3,35.12969,-80.8548,Charlotte,North Carolina
31904,4,32.55189,-85.00009,Columbus,Georgia
32720,3,29.01775,-81.37802,Deland,Florida
32725,3,28.88368,-81.25061,Deltona,Florida
32819,3,28.45565,-81.472,Orlando,Florida
33139,3,25.78523,-80.15085,Miami Beach,Florida
33172,3,25.78655,-80.3623,Miami,Florida
33431,3,26.37996,-80.1028,Boca Raton,Florida
33432,3,26.34546,-80.0838,Boca Raton,Florida
33605,3,27.95121,-82.42924,Tampa,Florida
33870,3,27.50571,-81.36071,Sebring,Florida
37129,3,35.92556,-86.44098,Murfreesboro,Tennessee
37922,3,35.86124,-84.10127,Knoxville,Tennessee
38134,3,35.17674,-89.85992,Memphis,Tennessee
48152,3,42.42597,-83.37433,Livonia,Michigan
49015,3,42.27467,-85.23115,Battle Creek,Michigan
49423,3,42.73964,-86.09015,Holland,Michigan
53719,3,43.0281,-89.50003,Madison,Wisconsin
54701,4,44.7432,-91.50899,Eau Claire,Wisconsin
55122,3,44.80326,-93.1962,Saint Paul,Minnesota
55416,3,44.94961,-93.34157,Minneapolis,Minnesota
56001,4,44.13193,-93.97789,Mankato,Minnesota
56073,3,44.30757,-94.46878,New Ulm,Minnesota
60010,3,42.15255,-88.16519,Barrington,Illinois
63117,3,38.63077,-90.33037,Saint Louis,Missouri
65806,3,37.20567,-93.29847,Springfield,Missouri
67202,3,37.68668,-97.33521,Wichita,Kansas
67950,3,37.06277,-101.86765,Elkhart,Kansas
74401,3,35.72304,-95.45431,Muskogee,Oklahoma
75067,4,33.01416,-97.00268,Lewisville,Texas
75070,4,33.15587,-96.69742,Mckinney,Texas
75206,3,32.83161,-96.77032,Dallas,Texas
75220,3,32.86692,-96.87571,Dallas,Texas
75254,3,32.94571,-96.80127,Dallas,Texas
77338,3,30.00858,-95.28351,Humble,Texas
77459,3,29.52691,-95.53407,Missouri City,Texas
78041,3,27.55489,-99.46889,Laredo,Texas
78130,3,29.69224,-98.06877,New Braunfels,Texas
78230,3,29.5455,-98.55571,San Antonio,Texas
78624,3,30.29227,-98.87141,Fredericksburg,Texas
78666,3,29.8826,-97.97974,San Marcos,Texas
78701,3,30.27022,-97.74248,Austin,Texas
79720,5,32.20171,-101.51395,Big Spring,Texas
79912,3,31.84839,-106.53272,El Paso,Texas
80206,3,39.73041,-104.95258,Denver,Colorado
81623,3,39.2451,-107.20921,Carbondale,Colorado
83001,3,43.4094,-110.60884,Jackson,Wyoming
83702,3,43.66821,-116.16493,Boise,Idaho
84101,3,40.75628,-111.89996,Salt Lake City,Utah
85281,3,33.42805,-111.93157,Tempe,Arizona
86403,3,34.47703,-114.34423,Lake Havasu City,Arizona
88001,4,32.29026,-106.75318,Las Cruces,New Mexico
90024,5,34.06565,-118.43521,Los Angeles,California
90027,3,34.12515,-118.29049,Los Angeles,California
90028,4,34.09982,-118.3268,Los Angeles,California
90036,4,34.07013,-118.34978,Los Angeles,California
90042,3,34.11475,-118.192,Los Angeles,California
90046,3,34.10752,-118.36575,Los Angeles,California
90048,3,34.07293,-118.3727,Los Angeles,California
90211,4,34.06498,-118.38293,Beverly Hills,California
90292,3,33.97865,-118.44707,Marina Del Rey,California
90401,5,34.01584,-118.49251,Santa Monica,California
91910,3,32.63653,-117.06301,Chula Vista,California
92037,4,32.85257,-117.25104,La Jolla,California
92591,3,33.53432,-117.1092,Temecula,California
92821,3,33.92997,-117.86986,Brea,California
93101,5,34.41925,-119.70808,Santa Barbara,California
94102,3,37.77956,-122.41931,San Francisco,California
94103,8,37.77299,-122.41136,San Francisco,California
94704,3,37.8664,-122.26088,Berkeley,California
94952,5,38.23007,-122.76338,Petaluma,California
95476,3,38.25531,-122.46055,Sonoma,California
95630,3,38.66558,-121.141,Folsom,California
95945,3,39.19426,-120.98199,Grass Valley,California
96707,4,21.36455,-158.08141,Kapolei,Hawaii
97202,3,45.48232,-122.64365,Portland,Oregon
97301,4,44.94948,-123.00439,Salem,Oregon
97401,4,44.06803,-123.08171,Eugene,Oregon
97520,3,42.15472,-122.53168,Ashland,Oregon
98122,4,47.60985,-122.29569,Seattle,Washington
98368,4,48.03879,-122.84406,Port Townsend,Washington
98841,3,48.37602,-119.29817,Omak,Washington
99801,3,58.39785,-134.05472,Juneau,Alaska
